Player,Team,Role
Abhishek Sharma,PRATIK11,BAT
Ben Duckett,PRATIK11,BAT
Abhishek Porel,PRATIK11,BAT
Ayush Mhatre,PRATIK11,BAT
Finn Allen,PRATIK11,BAT
Rahul Tripathi,PRATIK11,BAT
Dre Pretorius,PRATIK11,BAT
Matthew Breetzke,PRATIK11,BAT
Anuj Rawat,PRATIK11,BAT
Marco Jansen,PRATIK11,AR
Sunil Narine,PRATIK11,AR
Wanindu Hasaranga,PRATIK11,AR
Harpreet Brar,PRATIK11,BOWL
Mayank Yadav,PRATIK11,BOWL
Suyash Sharma,PRATIK11,BOWL
Digvesh Rathi,PRATIK11,BOWL
Kuldeep Yadav,PRATIK11,BOWL
Noor Ahmad,PRATIK11,BOWL
