Player,Team,Role,Matched_Player,Suggested_Match,Match_Type,Runs,Wkts,Batting_Points,Bowling_Points,Points,snapshot_time
Corbin Bosch,VATSAL11,BOWL,corbin bosch,,exact/alias,11,1,0,20,20,2026-04-10T18:01:28.621713+00:00
Deepak Chahar,VATSAL11,BOWL,deepak chahar,,exact/alias,6,1,0,20,20,2026-04-10T18:01:28.621713+00:00
Rahul Chahar,VATSAL11,BOWL,rahul chahar,,exact/alias,0,0,0,0,0,2026-04-10T18:01:28.621713+00:00
Sanju Samson,BABA11,BAT,sanju samson,,exact/alias,22,0,22,0,22,2026-04-10T18:01:28.621713+00:00
Jos Inglis,BABA11,BAT,,marcus stoinis,no_stats_yet,0,0,0,0,0,2026-04-10T18:01:28.621713+00:00
David Miller,BABA11,BAT,david miller,,exact/alias,62,0,62,0,62,2026-04-10T18:01:28.621713+00:00
dhruv chand jurel,BABA11,BAT,dhruv chand jurel,,exact/alias,95,0,95,0,95,2026-04-10T18:01:28.621713+00:00
Ayush Badoni,BABA11,BAT,ayush badoni,,exact/alias,66,0,66,0,66,2026-04-10T18:01:28.621713+00:00
Prithvi Shaw,BABA11,BAT,,prasidh krishna,no_stats_yet,0,0,0,0,0,2026-04-10T18:01:28.621713+00:00
ryan rickelton,BABA11,BAT,ryan rickelton,,exact/alias,98,0,98,0,98,2026-04-10T18:01:28.621713+00:00
Rinku Singh,BABA11,BAT,rinku singh,,exact/alias,72,0,72,0,72,2026-04-10T18:01:28.621713+00:00
Shivam Dube,BABA11,BAT,shivam dube,,exact/alias,69,1,69,0,69,2026-04-10T18:01:28.621713+00:00
Rowman Powell,BABA11,BAT,,rovman powell,no_stats_yet,0,0,0,0,0,2026-04-10T18:01:28.621713+00:00
Rashid Khan,BABA11,AR,rashid khan,,exact/alias,24,5,24,100,124,2026-04-10T18:01:28.621713+00:00
liam livingston,BABA11,AR,,liam livingstone,no_stats_yet,0,0,0,0,0,2026-04-10T18:01:28.621713+00:00
rachin ravindra,BABA11,AR,,rashid khan,no_stats_yet,0,0,0,0,0,2026-04-10T18:01:28.621713+00:00
sherfane rutherford,BABA11,AR,sherfane rutherford,,exact/alias,30,0,30,0,30,2026-04-10T18:01:28.621713+00:00
Varun Chakravarthy,BABA11,BOWL,varun chakravarthy,,exact/alias,0,0,0,0,0,2026-04-10T18:01:28.621713+00:00
Zeeshan Ansari,BABA11,BOWL,,eshan malinga,no_stats_yet,0,0,0,0,0,2026-04-10T18:01:28.621713+00:00
Mitchell Starc,BABA11,BOWL,,mitchell santner,no_stats_yet,0,0,0,0,0,2026-04-10T18:01:28.621713+00:00
mitchell santner,BABA11,BOWL,mitchell santner,,exact/alias,18,1,0,20,20,2026-04-10T18:01:28.621713+00:00
Ruturaj Gaikwad,DIPESH11,BAT,ruturaj gaikwad,,exact/alias,41,0,41,0,41,2026-04-10T18:01:28.621713+00:00
b sai sudharshan,DIPESH11,BAT,b sai sudharshan,,exact/alias,98,0,98,0,98,2026-04-10T18:01:28.621713+00:00
Prabhsimran Singh,DIPESH11,BAT,prabhsimran singh,,exact/alias,80,0,80,0,80,2026-04-10T18:01:28.621713+00:00
priyansh arya,DIPESH11,BAT,priyansh arya,,exact/alias,46,0,46,0,46,2026-04-10T18:01:28.621713+00:00
Mitchel Owen,DIPESH11,BAT,,mitchell santner,no_stats_yet,0,0,0,0,0,2026-04-10T18:01:28.621713+00:00
Nehal Wadhera,DIPESH11,BAT,nehal wadhera,,exact/alias,13,0,13,0,13,2026-04-10T18:01:28.621713+00:00
Tristan Stubbs,DIPESH11,BAT,tristan stubbs,,exact/alias,49,0,49,0,49,2026-04-10T18:01:28.621713+00:00
Sarfaraz Khan,DIPESH11,BAT,sarfaraz khan,,exact/alias,99,0,99,0,99,2026-04-10T18:01:28.621713+00:00
Pat Cummins,DIPESH11,AR,,pathum nissanka,no_stats_yet,0,0,0,0,0,2026-04-10T18:01:28.621713+00:00
Aiden Markram,DIPESH11,AR,aiden markram,,exact/alias,78,0,78,0,78,2026-04-10T18:01:28.621713+00:00
Tim David,DIPESH11,AR,tim david,,exact/alias,86,0,86,0,86,2026-04-10T18:01:28.621713+00:00
Cooper Connolly,DIPESH11,AR,cooper connolly,,exact/alias,108,0,108,0,108,2026-04-10T18:01:28.621713+00:00
arshdeep singh,DIPESH11,BOWL,arshdeep singh,,exact/alias,0,0,0,0,0,2026-04-10T18:01:28.621713+00:00
avesh khan,DIPESH11,BOWL,avesh khan,,exact/alias,1,3,0,60,60,2026-04-10T18:01:28.621713+00:00
Mukesh Kumar,DIPESH11,BOWL,mukesh kumar,,exact/alias,0,4,0,80,80,2026-04-10T18:01:28.621713+00:00
Aqib Nabi Dar,DIPESH11,BOWL,,b sai sudharshan,no_stats_yet,0,0,0,0,0,2026-04-10T18:01:28.621713+00:00
Rasik Dar Salam,DIPESH11,BOWL,,rashid khan,no_stats_yet,0,0,0,0,0,2026-04-10T18:01:28.621713+00:00
Xavier Bartlett,DIPESH11,BOWL,xavier bartlett,,exact/alias,11,3,0,60,60,2026-04-10T18:01:28.621713+00:00
Yashasvi Jaiswal,NAKUL11,BAT,yashasvi jaiswal,,exact/alias,170,0,170,0,170,2026-04-10T18:01:28.621713+00:00
lokesh rahul,NAKUL11,BAT,lokesh rahul,,exact/alias,93,0,93,0,93,2026-04-10T18:01:28.621713+00:00
Shreyas Iyer,NAKUL11,BAT,shreyas iyer,,exact/alias,68,0,68,0,68,2026-04-10T18:01:28.621713+00:00
Jos Buttler,NAKUL11,BAT,jos buttler,,exact/alias,116,0,116,0,116,2026-04-10T18:01:28.621713+00:00
Urvil Patel,NAKUL11,BAT,,axar patel,no_stats_yet,0,0,0,0,0,2026-04-10T18:01:28.621713+00:00
Arshin Kulkarni,NAKUL11,BAT,,shivang kumar,no_stats_yet,0,0,0,0,0,2026-04-10T18:01:28.621713+00:00
Nishant Sindhu,NAKUL11,AR,,shashank singh,no_stats_yet,0,0,0,0,0,2026-04-10T18:01:28.621713+00:00
Jayant Yadav,NAKUL11,AR,,prince yadav,no_stats_yet,0,0,0,0,0,2026-04-10T18:01:28.621713+00:00
Ajay Mandal,NAKUL11,AR,,rajat patidar,no_stats_yet,0,0,0,0,0,2026-04-10T18:01:28.621713+00:00
Will Jacks,NAKUL11,AR,,mitchell marsh,no_stats_yet,0,0,0,0,0,2026-04-10T18:01:28.621713+00:00
Riyan Parag,NAKUL11,AR,riyan parag,,exact/alias,42,1,42,20,62,2026-04-10T18:01:28.621713+00:00
Kagiso Rabada,NAKUL11,BOWL,kagiso rabada,,exact/alias,23,3,0,60,60,2026-04-10T18:01:28.621713+00:00
Josh Hazelwood,NAKUL11,BOWL,,shahbaz ahmed,no_stats_yet,0,0,0,0,0,2026-04-10T18:01:28.621713+00:00
Kyle Jamieson,NAKUL11,BOWL,,jamie overton,no_stats_yet,0,0,0,0,0,2026-04-10T18:01:28.621713+00:00
Matheesha Pathirana,NAKUL11,BOWL,,eshan malinga,no_stats_yet,0,0,0,0,0,2026-04-10T18:01:28.621713+00:00
M Siddharth,NAKUL11,BOWL,,manimaran siddharth,no_stats_yet,0,0,0,0,0,2026-04-10T18:01:28.621713+00:00
